DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP
,,,,,3835,,0,,,,0,,,JAN,,N/A,SAT,0,,DISTRICT,
4,8XX WINDHAM AV,39.1428396994859,-84.489002603138,AVONDALE,846,41000510,1,,BLACK,MALE,32,NONFATAL,01/24/2010 12:00:00 AM,JAN,,N/A,SUN,41000510,01/24/2010 12:00:00 AM,DISTRICT 4,45229
4,34XX HARVEY AV,39.1404355917355,-84.4976525863056,AVONDALE,253,40805831,1,,BLACK,MALE,17,NONFATAL,08/12/2008 12:00:00 AM,AUG,,N/A,TUE,40805831,08/12/2008 12:00:00 AM,DISTRICT 4,45229
1,21XX WESTERN AV,39.1217437098575,-84.5382190319205,QUEENSGATE,212,08-H-35,1,,BLACK,MALE,27,FATAL,07/17/2008 12:00:00 AM,JUL,,N/A,THU,08-H-35,07/17/2008 12:00:00 AM,DISTRICT 1,45214
1,XX GREEN ST,39.114483163875,-84.5177054092784,OVER-THE-RHINE,675,10903678,1,,BLACK,MALE,18,NONFATAL,08/11/2009 12:00:00 AM,AUG,,N/A,TUE,10903678,08/11/2009 12:00:00 AM,DISTRICT 1,45202
5,5XX S I75 EX,39.160023049475,-84.5499803846562,NORTHSIDE,355,50806643,1,,BLACK,MALE,25,NONFATAL,10/26/2008 12:00:00 AM,OCT,,N/A,SUN,50806643,10/26/2008 12:00:00 AM,DISTRICT 5,45223
4,XX E GALBRAITH RD,39.21209227734,-84.4717124257827,HARTWELL,3180,159017614,1,"CINCINNATI, OH 45215",BLACK,MALE,33,NONFATAL,08/30/2015 12:00:00 AM,AUG,233000,23,SUN,159017614,08/30/2015 11:30:00 PM,DISTRICT 4,45216
4,51XX PADDOCK RD,39.1816832755773,-84.4767308690666,BOND HILL,1892,129020535,1,"CINC, OH 45237",BLACK,FEMALE,41,NONFATAL,07/22/2012 12:00:00 AM,JUL,042500,4,SUN,129020535,07/22/2012 04:25:00 AM,DISTRICT 4,45237
4,23XX READING RD,39.1235555034431,-84.5017003397665,WALNUT HILLS,2600,149010037,1,"CINC, OH 45219",BLACK,MALE,17,NONFATAL,05/03/2014 12:00:00 AM,MAY,234800,23,SAT,149010037,05/03/2014 11:48:00 PM,DISTRICT 4,45206
5,29XX HIGHFOREST LN,39.178399200544,-84.5612315430753,MOUNT AIRY,3755,169033151,1,,BLACK,MALE,48,NONFATAL,12/19/2016 12:00:00 AM,DEC,163000,16,MON,169033151,12/19/2016 04:30:00 PM,DISTRICT 5,
4,12XX REGENT AV,39.1762757400517,-84.476972037343,BOND HILL,3690,169026811,1,,BLACK,MALE,19,NONFATAL,10/13/2016 12:00:00 AM,OCT,213000,21,THU,169026811,10/13/2016 09:30:00 PM,DISTRICT 4,
1,16XX LOCKHURST LN,39.1135541476608,-84.5305363186963,WEST END,3275,159029546,2,"CINCINNATI, OH 45214",BLACK,MALE,23,FATAL,10/28/2015 12:00:00 AM,OCT,212700,21,WED,159029546,10/28/2015 09:27:00 PM,DISTRICT 1,
3,31XX MOOSEWOOD AV,39.141324741413,-84.5505530702517,MILLVALE,2797,149026782,1,"CINTI, OH 45210",BLACK,MALE,30,NONFATAL,10/20/2014 12:00:00 AM,OCT,203000,20,MON,149026782,10/20/2014 08:30:00 PM,DISTRICT 3,45225
3,19XX BALTIMORE AV,39.1360596047083,-84.5593195300837,NORTH FAIRMOUNT,2154,139008089,2,"CINC, OH 45214",BLACK,MALE,22,NONFATAL,04/08/2013 12:00:00 AM,APR,160000,16,MON,139008089,04/08/2013 04:00:00 PM,DISTRICT 3,45225
4,78XX READING RD,39.2055544171934,-84.4543622344519,ROSELAWN,1511,41104818,1,"CINC, OH 45237",BLACK,MALE,19,NONFATAL,07/27/2011 12:00:00 AM,JUL,215500,21,WED,41104818,07/27/2011 09:55:00 PM,DISTRICT 4,45237
1,8XX FINDLAY ST,39.1160663831254,-84.5286275718152,WEST END,3086,159016487,1,"CINCINNATI, OH 45214",BLACK,MALE,21,NONFATAL,06/26/2015 12:00:00 AM,JUN,022000,2,FRI,159016487,06/26/2015 02:20:00 AM,DISTRICT 1,45214
